pref,city,img_url,edition,release_date,loc_name,address,phone,hours,stock_text,stock_url,lat,lng
埼玉県,日本下水道事業団,http://www.gk-p.jp/wp-content/uploads/mhc/00-101-A01.jpg,第17弾,2022/08/06,日本下水道事業団研修センター管理課,埼玉県戸田市下笹目5141,,【平日】10：00～12：00、13：00～16：00 【土日祝日】13：00～15：00 ただし、年末年始及びお盆期間は配布を行いません。 配布については、業務都合により急遽中止等の措置を講じる場合がありますのでお越しになる前に、必ず、JS公式ホームページの最新情報をご確認いただきますようお願いいたします,こちら からご確認ください,https://www.jswa.go.jp/company/50th-anniversary/manhole-card.html,35.811155,139.640666
大阪府,UR都市機構,http://www.gk-p.jp/wp-content/uploads/mhc/00-102-A-01.jpg,第18弾,2023/01/28,UR千里営業センター,大阪府豊中市新千里東町1丁目4番2号（千里ライフサイエンスセンタービル2階）,,9：30～18：00 ただし、水曜日、年末年始（12/29～1/3）はお休みです,こちら からご確認ください,https://karigurashi.net/journal/manhole-card/,34.811193,135.496102
東京都,UR都市機構(B001),http://www.gk-p.jp/wp-content/uploads/mhc/00-102-B-01.jpg,第27弾,2025/12/19,URまちとくらしのミュージアム,東京都北区赤羽台1-4-50,,10:00～17:00 ただし、水曜日・日曜日・祝日・年末年始・臨時休業日はお休みです,こちら からご確認ください,https://www.ur-net.go.jp/rd_portal/manhole/,35.776814,139.715871
北海道,札幌市（A001）,http://www.gk-p.jp/wp-content/uploads/mhc/01-100-A-01.jpg,第01弾,2016/04/01,札幌市下水道科学館,北海道札幌市北区麻生町8,,9:30～17:00（入館は16:30まで） ただし、月曜日（祝休日の場合は翌日）、年末年始はお休みです。その他休館日は左記HPよりご確認ください,こちら からご確認ください,http://www.city.sapporo.jp/gesui/manholecard.html,43.116999,141.342609
北海道,札幌市（B001）,http://www.gk-p.jp/wp-content/uploads/mhc/01-100-B-01.jpg,第09弾,2018/12/14,札幌市環境プラザ,北海道札幌市北区北8条西3丁目札幌エルプラザ2階,,9：00～18：00 ただし、年末年始（12/29～1/3）はお休みです その他、施設の点検等で休館する場合があります,こちら からご確認ください,http://www.city.sapporo.jp/gesui/manholecard.html,43.071197,141.349879
北海道,札幌市(C001),http://www.gk-p.jp/wp-content/uploads/mhc/01-100-C-01.jpg,第20弾,2023/07/28,大通公園観光案内所,北海道札幌市中央区大通西3丁目,,【5月～10月】9:30～17:30 【11月～4月】10:00～12:00、13:00～16:00 ただし、年末年始（12/29～1/3）はお休みです,こちら からご確認ください,https://www.city.sapporo.jp/gesui/manholecard.html,43.060819,141.352915
北海道,函館市,http://www.gk-p.jp/wp-content/uploads/mhc/01-202-A-01.jpg,第03弾,2016/12/01,函館市地域交流まちづくりセンター,北海道函館市末広町4-19,,9:00～21:00 ただし、年末年始（12/31～1/3）はお休みです また、器材点検のために月1回程度休館する場合があります,こちら からご確認ください,http://www.city.hakodate.hokkaido.jp/docs/2016111100025/,41.763724,140.716946
北海道,小樽市,http://www.gk-p.jp/wp-content/uploads/mhc/01-203-A-02.jpg,第06弾,2017/12/09,小樽市水道局本庁舎,北海道小樽市花園2-11-15,,9:00～17:00（年中無休）,こちら からご確認ください,https://www.city.otaru.lg.jp/docs/2020112200455/,43.191662,140.994093
北海道,旭川市(A001),http://www.gk-p.jp/wp-content/uploads/mhc/01-204-A-01.jpg,第04弾,2017/04/03,旭川市下水処理センターバナナ館,北海道旭川市神居町忠和287（旭川市下水処理センター2階）,,【5～10月】9:00～16:00にバナナ館を見学された方に配布します ただし、月曜日（月曜日が祝日・振替休日の場合はその翌日）、年末年始（12/30～1/4）はお休みです 【11～4月】8:45～17:15 ただし、土日、祝日、年末年始（12/30～1/4）はお休みです それぞれ配布窓口が異なるのでご注意ください,こちら からご確認ください,http://www.city.asahikawa.hokkaido.jp/kurashi/440/441/4429/d059082.html,43.780354,142.294064
北海道,旭川市(B001),http://www.gk-p.jp/wp-content/uploads/mhc/01-204-B-01.jpg,第23弾,2024/07/26,旭川観光物産情報センター,北海道旭川市宮下通8丁目3番1号（JR旭川駅東コンコース）,,【6月～9月】8：30～19：00 【10月～5月】9：00～19：00 ただし、年末年始（12月31日～1月2日）はお休みです,こちら からご確認ください,https://www.city.asahikawa.hokkaido.jp/kurashi/440/441/4429/d059082.html,43.762701,142.359467
北海道,室蘭市,http://www.gk-p.jp/wp-content/uploads/mhc/01-205-A-01.jpg,第08弾,2018/08/11,室蘭観光協会,北海道室蘭市海岸町1丁目5番1号,,【4～10月】8:00～19:00 【11～3月】8:00～17:00 ただし、1/1のみお休みです,こちら からご確認ください,https://www.city.muroran.lg.jp/life/?content=3147,42.322155,140.970185
北海道,釧路市(A001),http://www.gk-p.jp/wp-content/uploads/mhc/01-206-A-01.jpg,第07弾,2018/04/28,釧路市上下水道部 南大通庁舎経営企画課,北海道釧路市南大通2-1-121,,9:00～17:00（年中無休）,こちら からご確認ください,https://www.city.kushiro.lg.jp/kurashi/suidou/1004657/1014085.html,42.978676,144.383198
北海道,釧路市(B001),http://www.gk-p.jp/wp-content/uploads/mhc/01-206-B-01.jpg,第11弾,2019/12/14,阿寒湖まりむ館　観光インフォメーションセンター,北海道釧路市阿寒町阿寒湖温泉2丁目6-20,,9:00～17:20 ただし、年末年始(12月29日～1月3日)はお休みです,こちら からご確認ください,https://www.city.kushiro.lg.jp/kurashi/suidou/1004657/1014085.html,43.432780,144.095948
北海道,釧路市(C001),http://www.gk-p.jp/wp-content/uploads/mhc/01-206-C-01.jpg,第22弾,2024/04/26,ルート38 音別館 おんぽーと,北海道釧路市音別町本町1-51,,9：00～17：00 ただし、年末年始（12月31日～1月3日）はお休みです,こちら からご確認ください,https://www.city.kushiro.lg.jp/kurashi/suidou/1004657/1014085.html,42.889700,143.931299
北海道,帯広市,http://www.gk-p.jp/wp-content/uploads/mhc/01-207-A-01.jpg,第11弾,2019/12/14,とかち観光情報センター,北海道帯広市西2条南12丁目 エスタ帯広東館2階,,9:00～17:00 ただし、年末年始(12月29日～1月3日)はお休みです,0155-23-6403までお問い合わせください,,42.917603,143.202922
北海道,北見市（A001）,http://www.gk-p.jp/wp-content/uploads/mhc/01-208-A-01.jpg,第02弾,2016/08/01,北見市上下水道局給排水課窓口,北海道北見市中ノ島町1-4-1（北見市上下水道局庁舎内）,,【平日】8:45～17:30 【休日】9:00～17:00 ただし年末年始（12/29～1/3）は休日同様に配布致します ※休日は閉庁のため、庁舎正面の道を進んでいただき、職員専用玄関のインターホンでお呼び出しください,こちら からご確認ください,http://www.city.kitami.lg.jp/administration/life/detail.php?content=9605,43.811367,143.904514
